# -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# NMod      log(t)         H/He  log(L/Ls)  Log(Teff)    log(Tc)  log(rhoc)      Tmax     MTmax     M-cc      M-Hec      M-ce        L-pp       L-cno     L-3alfa       L-gra     He_sup   log(Tce)   Rce/Rtot      R/Rsun     log(g)     M/Msun        mdot     Lacc/L    log(tkh)   log(tacc)  t_conv_gl.  Mix.Len.
# -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1  0.00000000  0.71295E+00   2.882308   3.619411   5.422542  -3.640428   0.00000   0.00000   0.00000   0.00000   0.00000  0.6930E-14  0.0000E+00  0.0000E+00  0.1049E+01   0.274000   5.422542   0.000000   53.160691   1.100590   1.300000  0.0000E+00   0.000000  0.2815E+01 -0.9900E+02 **********   1.760000
     2  0.00000000  0.71295E+00   2.545352   3.597435   5.444114  -3.606481   0.00000   0.00000   0.66551   0.00000   1.67752  0.3783E-13  0.0000E+00  0.0000E+00  0.1000E+01   0.274000   5.075535   0.537704   39.908523   1.349639   1.300000  0.0000E+00   0.000000  0.3276E+01 -0.9900E+02   1.130856   1.760000
     3  0.00000000  0.71295E+00   2.490218   3.583866   5.444729  -3.605457   0.00000   0.00000   0.74251   0.00000   1.60877  0.4437E-13  0.0000E+00  0.0000E+00  0.9997E+00   0.274000   5.096195   0.524128   39.869096   1.350498   1.300000  0.0000E+00   0.000000  0.3332E+01 -0.9900E+02   0.945081   1.760000
     4  0.00000000  0.71295E+00   2.485732   3.582936   5.445071  -3.604920   0.00000   0.00000   0.78376   0.00000   1.54002  0.4544E-13  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.114484   0.511127   39.833981   1.351263   1.300000  0.0000E+00   0.000000  0.3337E+01 -0.9900E+02   0.926670   1.760000
     5  0.00000000  0.71295E+00   2.484413   3.582924   5.445444  -3.604348   0.00000   0.00000   0.78376   0.00000   1.47127  0.4641E-13  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.132383   0.498511   39.775611   1.352537   1.300000  0.0000E+00   0.000000  0.3339E+01 -0.9900E+02   0.945688   1.760000
     6  0.00000000  0.71295E+00   2.482831   3.582983   5.446015  -3.603478   0.00000   0.00000   0.75626   0.00000   1.36126  0.4788E-13  0.0000E+00  0.0000E+00  0.9997E+00   0.274000   5.159321   0.478497   39.692437   1.354355   1.300000  0.0000E+00   0.000000  0.3341E+01 -0.9900E+02   0.982210   1.760000
     7  0.00000000  0.71295E+00   2.480739   3.583080   5.446899  -3.602133   0.00000   0.00000   0.00000   0.00000   1.11376  0.5022E-13  0.0000E+00  0.0000E+00  0.1000E+01   0.274000   5.212756   0.433235   39.579264   1.356835   1.300000  0.0000E+00   0.000000  0.3344E+01 -0.9900E+02   1.052779   1.760000
     8  0.00000000  0.71295E+00   2.477852   3.583231   5.448255  -3.600071   0.00000   0.00000   0.00000   0.00000   0.88688  0.5397E-13  0.0000E+00  0.0000E+00  0.1000E+01   0.274000   5.258943   0.390940   39.420565   1.360325   1.300000  0.0000E+00   0.000000  0.3349E+01 -0.9900E+02   1.264395   1.760000
     9  0.00000000  0.71295E+00   2.474306   3.583457   5.450444  -3.596740   0.00000   0.00000   0.00000   0.00000   0.48401  0.6046E-13  0.0000E+00  0.0000E+00  0.1000E+01   0.274000   5.337887   0.304828   39.219071   1.364776   1.300000  0.0000E+00   0.000000  0.3355E+01 -0.9900E+02   1.424569   1.760000
    10  0.00000000  0.71295E+00   2.470191   3.583790   5.454255  -3.590945   0.00000   0.00000   0.00000   0.00000   0.13200  0.7185E-13  0.0000E+00  0.0000E+00  0.1000E+01   0.274000   5.412435   0.188906   38.973877   1.370224   1.300000  0.0000E+00   0.000000  0.3362E+01 -0.9900E+02   1.677655   1.760000
