     R/Rsun        theta        Omega(1/ns) Unknown
     0.400260      1.57080      426.868     0.541412
     0.442229      1.57080      426.967     0.434991
     0.482450      1.57080      426.377     0.356884
     0.521026      1.57080      426.003     0.315021
     0.558060      1.57080      424.927     0.319145
     0.593637      1.57080      424.053     0.340433
     0.627809      1.57080      423.019     0.352058
     0.660583      1.57080      416.573     0.350356
     0.691917      1.57080      400.591     0.340277
     0.721641      1.57080      378.785     0.328509
     0.749417      1.57080      359.653     0.317340
     0.775293      1.57080      347.505     0.306500
     0.799374      1.57080      341.254     0.295304
     0.821755      1.57080      337.988     0.284027
     0.842515      1.57080      335.588     0.273454
     0.861725      1.57080      333.214     0.264176
     0.879442      1.57080      330.841     0.257323
     0.895717      1.57080      328.693     0.255226
     0.910598      1.57080      326.898     0.260675
     0.924122      1.57080      325.289     0.271185
     0.936327      1.57080      323.399     0.274620
     0.947243      1.57080      320.739     0.259561
     0.956899      1.57080      317.056     0.227443
     0.965319      1.57080      312.447     0.191914
     0.972523      1.57080      307.339     0.171059
     0.978567      1.57080      302.209     0.175223
     0.983589      1.57080      297.330     0.198678
     0.987668      1.57080      292.996     0.229272
     0.990765      1.57080      289.544     0.257561
     0.993061      1.57080      286.924     0.280587
     0.994808      1.57080      284.908     0.299002
     0.996168      1.57080      283.330     0.313763
     0.997251      1.57080      282.069     0.325745
     0.998128      1.57080      281.047     0.335575
     0.998842      1.57080      280.215     0.343651
     0.999417      1.57080      279.544     0.350196
     0.999861      1.57080      279.026     0.355288
      1.00019      1.57080      278.644     0.359048
      1.00046      1.57080      278.330     0.362152
      1.00071      1.57080      278.032     0.365093
     0.400260      1.53807      426.869     0.541421
     0.442229      1.53807      426.968     0.435004
     0.482450      1.53807      426.380     0.356884
     0.521026      1.53807      426.009     0.314958
     0.558060      1.53807      424.935     0.318987
     0.593637      1.53807      424.059     0.340198
     0.627809      1.53807      423.028     0.351775
     0.660583      1.53807      416.597     0.350046
     0.691917      1.53807      400.638     0.339941
     0.721641      1.53807      378.854     0.328133
     0.749417      1.53807      359.743     0.316903
     0.775293      1.53807      347.617     0.305999
     0.799374      1.53807      341.387     0.294740
     0.821755      1.53807      338.139     0.283400
     0.842515      1.53807      335.754     0.272761
     0.861725      1.53807      333.396     0.263416
     0.879442      1.53807      331.039     0.256488
     0.895717      1.53807      328.904     0.254297
     0.910598      1.53807      327.119     0.259623
     0.924122      1.53807      325.521     0.270060
     0.936327      1.53807      323.651     0.273614
     0.947243      1.53807      321.023     0.258803
     0.956899      1.53807      317.378     0.226819
     0.965319      1.53807      312.813     0.191138
     0.972523      1.53807      307.754     0.169836
     0.978567      1.53807      302.672     0.173445
     0.983589      1.53807      297.834     0.196450
     0.987668      1.53807      293.530     0.226734
     0.990765      1.53807      290.095     0.254821
     0.993061      1.53807      287.486     0.277708
     0.994808      1.53807      285.477     0.296021
     0.996168      1.53807      283.904     0.310702
     0.997251      1.53807      282.648     0.322622
     0.998128      1.53807      281.630     0.332401
     0.998842      1.53807      280.800     0.340434
     0.999417      1.53807      280.132     0.346946
     0.999861      1.53807      279.615     0.352011
      1.00019      1.53807      279.235     0.355753
      1.00046      1.53807      278.922     0.358840
      1.00071      1.53807      278.625     0.361766
     0.400260      1.50535      426.873     0.541450
     0.442229      1.50535      426.974     0.435044
     0.482450      1.50535      426.391     0.356884
     0.521026      1.50535      426.029     0.314771
     0.558060      1.50535      424.959     0.318512
     0.593637      1.50535      424.078     0.339491
     0.627809      1.50535      423.057     0.350926
     0.660583      1.50535      416.668     0.349114
     0.691917      1.50535      400.777     0.338934
     0.721641      1.50535      379.062     0.327003
     0.749417      1.50535      360.014     0.315595
     0.775293      1.50535      347.953     0.304497
     0.799374      1.50535      341.787     0.293050
     0.821755      1.50535      338.592     0.281520
     0.842515      1.50535      336.252     0.270690
     0.861725      1.50535      333.942     0.261144
     0.879442      1.50535      331.635     0.253990
     0.895717      1.50535      329.538     0.251521
     0.910598      1.50535      327.781     0.256479
     0.924122      1.50535      326.218     0.266692
     0.936327      1.50535      324.409     0.270590
     0.947243      1.50535      321.872     0.256520
     0.956899      1.50535      318.344     0.224954
     0.965319      1.50535      313.911     0.188850
     0.972523      1.50535      308.993     0.166232
     0.978567      1.50535      304.057     0.168185
     0.983589      1.50535      299.344     0.189842
     0.987668      1.50535      295.128     0.219197
     0.990765      1.50535      291.749     0.246674
     0.993061      1.50535      289.175     0.269145
     0.994808      1.50535      287.190     0.287150
     0.996168      1.50535      285.636     0.301594
     0.997251      1.50535      284.395     0.313324
     0.998128      1.50535      283.388     0.322948
     0.998842      1.50535      282.568     0.330855
     0.999417      1.50535      281.908     0.337266
     0.999861      1.50535      281.397     0.342253
      1.00019      1.50535      281.020     0.345937
      1.00046      1.50535      280.711     0.348977
      1.00071      1.50535      280.418     0.351858
     0.400260      1.47262      426.879     0.541497
     0.442229      1.47262      426.984     0.435110
     0.482450      1.47262      426.408     0.356885
     0.521026      1.47262      426.061     0.314460
     0.558060      1.47262      424.998     0.317725
     0.593637      1.47262      424.110     0.338317
     0.627809      1.47262      423.104     0.349512
     0.660583      1.47262      416.786     0.347563
     0.691917      1.47262      401.009     0.337258
     0.721641      1.47262      379.408     0.325125
     0.749417      1.47262      360.464     0.313420
     0.775293      1.47262      348.513     0.302001
     0.799374      1.47262      342.454     0.290242
     0.821755      1.47262      339.347     0.278400
     0.842515      1.47262      337.083     0.267253
     0.861725      1.47262      334.853     0.257377
     0.879442      1.47262      332.627     0.249854
     0.895717      1.47262      330.595     0.246926
     0.910598      1.47262      328.886     0.251280
     0.924122      1.47262      327.382     0.261107
     0.936327      1.47262      325.673     0.265540
     0.947243      1.47262      323.288     0.252687
     0.956899      1.47262      319.952     0.221873
     0.965319      1.47262      315.733     0.185166
     0.972523      1.47262      311.046     0.160454
     0.978567      1.47262      306.347     0.159684
     0.983589      1.47262      301.843     0.179102
     0.987668      1.47262      297.782     0.206919
     0.990765      1.47262      294.505     0.233384
     0.993061      1.47262      291.998     0.255164
     0.994808      1.47262      290.061     0.272662
     0.996168      1.47262      288.542     0.286714
     0.997251      1.47262      287.329     0.298131
     0.998128      1.47262      286.346     0.307502
     0.998842      1.47262      285.545     0.315204
     0.999417      1.47262      284.900     0.321449
     0.999861      1.47262      284.401     0.326309
      1.00019      1.47262      284.033     0.329899
      1.00046      1.47262      283.731     0.332862
      1.00071      1.47262      283.445     0.335671
     0.400260      1.43990      426.888     0.541563
     0.442229      1.43990      426.998     0.435202
     0.482450      1.43990      426.432     0.356887
     0.521026      1.43990      426.105     0.314029
     0.558060      1.43990      425.054     0.316627
     0.593637      1.43990      424.155     0.336677
     0.627809      1.43990      423.171     0.347537
     0.660583      1.43990      416.951     0.345395
