{0.2617993877991494, 0.5, 2.1564459561157843*^-8}	{0.2617993877991494, 0.51, 8.532354735739217*^-9}	{0.2617993877991494, 0.52, 6.197166717826017*^-10}	{0.2617993877991494, 0.53, 3.017314833651498*^-9}	{0.2617993877991494, 0.54, 4.5386189354438926*^-11}	{0.2617993877991494, 0.5499999999999999, 1.3671875714453414*^-9}	{0.2617993877991494, 0.5599999999999999, 5.844480520661771*^-10}	{0.2617993877991494, 0.57, 3.3678274166714724*^-9}	{0.2617993877991494, 0.58, 6.120624120928547*^-8}	{0.2617993877991494, 0.59, 4.616863534545413*^-8}	{0.2617993877991494, 0.6, 1.882506808531102*^-9}	{0.2617993877991494, 0.61, 4.327066739879768*^-8}	{0.2617993877991494, 0.62, 5.92019317783417*^-8}	{0.2617993877991494, 0.63, 9.878044427311618*^-8}	{0.2617993877991494, 0.64, 2.44877000463146*^-7}	{0.2617993877991494, 0.65, 2.6734591892711296*^-7}	{0.2617993877991494, 0.66, 4.837039258807101*^-6}	{0.2617993877991494, 0.6699999999999999, 4.156805330923942*^-6}	{0.2617993877991494, 0.6799999999999999, 0.000012220993211936518}	{0.2617993877991494, 0.69, 5.925737980459312*^-6}	{0.2617993877991494, 0.7, 8.847300082196234*^-6}
{0.3490658503988659, 0.5, 1.2131151435222966*^-7}	{0.3490658503988659, 0.51, 1.898354231794648*^-8}	{0.3490658503988659, 0.52, 9.053327726038144*^-9}	{0.3490658503988659, 0.53, 1.2173484982223066*^-8}	{0.3490658503988659, 0.54, 2.6685720075356715*^-7}	{0.3490658503988659, 0.5499999999999999, 1.4655480246118231*^-9}	{0.3490658503988659, 0.5599999999999999, 1.7530066101601658*^-8}	{0.3490658503988659, 0.57, 2.4721023536752562*^-9}	{0.3490658503988659, 0.58, 5.045167052387196*^-8}	{0.3490658503988659, 0.59, 1.743392041867401*^-8}	{0.3490658503988659, 0.6, 1.1808132103206916*^-8}	{0.3490658503988659, 0.61, 1.932180684657153*^-7}	{0.3490658503988659, 0.62, 3.058355377366163*^-7}	{0.3490658503988659, 0.63, 2.448078698258445*^-7}	{0.3490658503988659, 0.64, 5.772212552798982*^-7}	{0.3490658503988659, 0.65, 6.093461064199049*^-6}	{0.3490658503988659, 0.66, 0.000025272217478121762}	{0.3490658503988659, 0.6699999999999999, 0.00001909596091559535}	{0.3490658503988659, 0.6799999999999999, 0.00003407275833874775}	{0.3490658503988659, 0.69, 0.00010759501978540417}	{0.3490658503988659, 0.7, 0.00004314973026020313}
{0.4363323129985824, 0.5, 6.263470026840153*^-7}	{0.4363323129985824, 0.51, 2.811055977548562*^-7}	{0.4363323129985824, 0.52, 7.768118033483011*^-8}	{0.4363323129985824, 0.53, 2.7223829345349843*^-8}	{0.4363323129985824, 0.54, 6.06330729311656*^-9}	{0.4363323129985824, 0.5499999999999999, 6.770670969369704*^-8}	{0.4363323129985824, 0.5599999999999999, 1.8081007631686945*^-9}	{0.4363323129985824, 0.57, 4.2113978978926643*^-11}	{0.4363323129985824, 0.58, 1.546556941972067*^-7}	{0.4363323129985824, 0.59, 1.480688291384326*^-6}	{0.4363323129985824, 0.6, 1.209603511065458*^-8}	{0.4363323129985824, 0.61, 9.655802321685252*^-7}	{0.4363323129985824, 0.62, 4.541962223450447*^-7}	{0.4363323129985824, 0.63, 1.1960027940383361*^-6}	{0.4363323129985824, 0.64, 5.417297054845801*^-6}	{0.4363323129985824, 0.65, 0.00002124837464080681}	{0.4363323129985824, 0.66, 0.00004923219057561465}	{0.4363323129985824, 0.6699999999999999, 0.00007895245786935589}	{0.4363323129985824, 0.6799999999999999, 0.00020846501007185764}	{0.4363323129985824, 0.69, 0.00007758489792211316}	{0.4363323129985824, 0.7, 0.00013165687864491972}
{0.5235987755982988, 0.5, 2.909336327749004*^-6}	{0.5235987755982988, 0.51, 1.2829597638342801*^-6}	{0.5235987755982988, 0.52, 4.0775049548306806*^-7}	{0.5235987755982988, 0.53, 3.11071276157262*^-8}	{0.5235987755982988, 0.54, 3.705036249334556*^-8}	{0.5235987755982988, 0.5499999999999999, 1.435146060518738*^-8}	{0.5235987755982988, 0.5599999999999999, 6.95457360361041*^-8}	{0.5235987755982988, 0.57, 6.704941879847342*^-10}	{0.5235987755982988, 0.58, 4.5995890650912053*^-7}	{0.5235987755982988, 0.59, 6.18916519845437*^-8}	{0.5235987755982988, 0.6, 4.733590301329248*^-8}	{0.5235987755982988, 0.61, 3.881747250851155*^-6}	{0.5235987755982988, 0.62, 1.2385276734075463*^-6}	{0.5235987755982988, 0.63, 2.947077116786069*^-6}	{0.5235987755982988, 0.64, 7.752035294325149*^-6}	{0.5235987755982988, 0.65, 0.000052382967953302446}	{0.5235987755982988, 0.66, 0.0002272365543775234}	{0.5235987755982988, 0.6699999999999999, 0.0001403230423499912}	{0.5235987755982988, 0.6799999999999999, 0.0002431158751161119}	{0.5235987755982988, 0.69, 0.0011313949141164951}	{0.5235987755982988, 0.7, 0.0002877406499748891}
{0.6108652381980153, 0.5, 9.323378724848766*^-6}	{0.6108652381980153, 0.51, 4.969561507671731*^-6}	{0.6108652381980153, 0.52, 1.4158747545844942*^-6}	{0.6108652381980153, 0.53, 4.846945854520627*^-9}	{0.6108652381980153, 0.54, 0.000010889282153105107}	{0.6108652381980153, 0.5499999999999999, 9.744994387803569*^-7}	{0.6108652381980153, 0.5599999999999999, 6.259986575534769*^-7}	{0.6108652381980153, 0.57, 1.9131673136072835*^-7}	{0.6108652381980153, 0.58, 1.9792461286169636*^-6}	{0.6108652381980153, 0.59, 0.000018926249322720463}	{0.6108652381980153, 0.6, 4.254615345223225*^-6}	{0.6108652381980153, 0.61, 0.00001157477708134834}	{0.6108652381980153, 0.62, 0.00002532497217036507}	{0.6108652381980153, 0.63, 4.412327384857112*^-6}	{0.6108652381980153, 0.64, 0.000021010193799217458}	{0.6108652381980153, 0.65, 4.984587023071673*^-7}	{0.6108652381980153, 0.66, 0.0002871036011700269}	{0.6108652381980153, 0.6699999999999999, 0.0003406151872349607}	{0.6108652381980153, 0.6799999999999999, 0.00041924483152548815}	{0.6108652381980153, 0.69, 0.0023711971254358755}	{0.6108652381980153, 0.7, 0.00040564250806734856}
{0.6981317007977318, 0.5, 0.000030073468655140088}	{0.6981317007977318, 0.51, 0.000017078526447109316}	{0.6981317007977318, 0.52, 4.441140554757005*^-6}	{0.6981317007977318, 0.53, 7.634926770739262*^-8}	{0.6981317007977318, 0.54, 7.017687147446954*^-7}	{0.6981317007977318, 0.5499999999999999, 3.23187992394226*^-8}	{0.6981317007977318, 0.5599999999999999, 3.469659769635201*^-6}	{0.6981317007977318, 0.57, 0.000017399645999777655}	{0.6981317007977318, 0.58, 1.1529032411053336*^-6}	{0.6981317007977318, 0.59, 0.00005699773653512552}	{0.6981317007977318, 0.6, 9.35571572586862*^-6}	{0.6981317007977318, 0.61, 0.00003150680180761393}	{0.6981317007977318, 0.62, 5.507337583509826*^-6}	{0.6981317007977318, 0.63, 2.088556807429398*^-6}	{0.6981317007977318, 0.64, 5.674520874377975*^-6}	{0.6981317007977318, 0.65, 0.00013022396847493981}	{0.6981317007977318, 0.66, 0.0008578560195799988}	{0.6981317007977318, 0.6699999999999999, 0.00033556189956446676}	{0.6981317007977318, 0.6799999999999999, 0.001015649828280667}	{0.6981317007977318, 0.69, 0.002978268489197622}	{0.6981317007977318, 0.7, 0.00018110171696815908}
{0.7853981633974483, 0.5, 0.00009022564890764346}	{0.7853981633974483, 0.51, 0.00005388392140497645}	{0.7853981633974483, 0.52, 0.000012983500664551937}	{0.7853981633974483, 0.53, 3.3378843347739556*^-6}	{0.7853981633974483, 0.54, 2.4603659860635294*^-6}	{0.7853981633974483, 0.5499999999999999, 4.846328148176355*^-7}	{0.7853981633974483, 0.5599999999999999, 0.000014818565405578369}	{0.7853981633974483, 0.57, 0.000010358484184115353}	{0.7853981633974483, 0.58, 5.315323405359661*^-8}	{0.7853981633974483, 0.59, 0.00015978557381990846}	{0.7853981633974483, 0.6, 0.00003072085253388357}	{0.7853981633974483, 0.61, 4.28226211478684*^-6}	{0.7853981633974483, 0.62, 9.670656717798008*^-6}	{0.7853981633974483, 0.63, 1.019120519649721*^-6}	{0.7853981633974483, 0.64, 5.861686714410204*^-6}	{0.7853981633974483, 0.65, 0.00020306736871388446}	{0.7853981633974483, 0.66, 0.0013140010667795857}	{0.7853981633974483, 0.6699999999999999, 0.0003095236224696475}	{0.7853981633974483, 0.6799999999999999, 0.0021644462674007088}	{0.7853981633974483, 0.69, 0.004078126006821467}	{0.7853981633974483, 0.7, 0.00019380629554548731}
{0.8726646259971648, 0.5, 0.00025913649423335404}	{0.8726646259971648, 0.51, 0.0001609078986762247}	{0.8726646259971648, 0.52, 0.00003633046204191665}	{0.8726646259971648, 0.53, 6.620901916248252*^-6}	{0.8726646259971648, 0.54, 7.908988093712292*^-6}	{0.8726646259971648, 0.5499999999999999, 2.9043011935946983*^-6}	{0.8726646259971648, 0.5599999999999999, 0.00005388473171093572}	{0.8726646259971648, 0.57, 0.00014245909927293362}	{0.8726646259971648, 0.58, 0.000010674127487237406}	{0.8726646259971648, 0.59, 0.0004260442669483859}	{0.8726646259971648, 0.6, 0.00009352121191020492}	{0.8726646259971648, 0.61, 0.0002032795785095476}	{0.8726646259971648, 0.62, 0.00001547871535932713}	{0.8726646259971648, 0.63, 0.00003778457875156817}	{0.8726646259971648, 0.64, 0.00010956998711774533}	{0.8726646259971648, 0.65, 0.000013734018919976054}	{0.8726646259971648, 0.66, 0.0017298706939738923}	{0.8726646259971648, 0.6699999999999999, 0.00011487219332358707}	{0.8726646259971648, 0.6799999999999999, 0.0008389045263185873}	{0.8726646259971648, 0.69, 0.00455354200607696}	{0.8726646259971648, 0.7, 0.0004402923243232331}
{0.9599310885968813, 0.5, 0.0007346061779849795}	{0.9599310885968813, 0.51, 0.00046938775886274633}	{0.9599310885968813, 0.52, 0.00009993790800984967}	{0.9599310885968813, 0.53, 0.000028854001952480538}	{0.9599310885968813, 0.54, 0.00043570489324085485}	{0.9599310885968813, 0.5499999999999999, 0.00006938681661724689}	{0.9599310885968813, 0.5599999999999999, 0.00017703924388891962}	{0.9599310885968813, 0.57, 0.0001545221288711367}	{0.9599310885968813, 0.58, 0.0000860332368897075}	{0.9599310885968813, 0.59, 0.0011003489708149197}	{0.9599310885968813, 0.6, 0.0001909752812046253}	{0.9599310885968813, 0.61, 0.0005110785723966349}	{0.9599310885968813, 0.62, 0.001724267594613511}	{0.9599310885968813, 0.63, 0.00005711049104754566}	{0.9599310885968813, 0.64, 0.000035590054425954605}	{0.9599310885968813, 0.65, 0.00490952876449158}	{0.9599310885968813, 0.66, 0.00009534473279922232}	{0.9599310885968813, 0.6699999999999999, 6.609961079525068*^-11}	{0.9599310885968813, 0.6799999999999999, 0.00024214838956761357}	{0.9599310885968813, 0.69, 0.009614823367223064}	{0.9599310885968813, 0.7, 0.0021271832326657915}
{1.0471975511965976, 0.5, 0.001997228389024126}	{1.0471975511965976, 0.51, 0.0013906917964767195}	{1.0471975511965976, 0.52, 0.0002789554658886697}	{1.0471975511965976, 0.53, 0.00010939572865466156}	{1.0471975511965976, 0.54, 0.00007283123335479921}	{1.0471975511965976, 0.5499999999999999, 0.0000468243127388782}	{1.0471975511965976, 0.5599999999999999, 0.000548991364154237}	{1.0471975511965976, 0.57, 0.0005067921930544049}	{1.0471975511965976, 0.58, 0.0005360176104668205}	{1.0471975511965976, 0.59, 0.00033197771589237664}	{1.0471975511965976, 0.6, 0.00004882307314557709}	{1.0471975511965976, 0.61, 0.0013360650449637127}	{1.0471975511965976, 0.62, 0.000031647629422964396}	{1.0471975511965976, 0.63, 0.00036270080183600567}	{1.0471975511965976, 0.64, 0.0006226606362985057}	{1.0471975511965976, 0.65, 0.000022613989172462573}	{1.0471975511965976, 0.66, 0.0015663891807560376}	{1.0471975511965976, 0.6699999999999999, 0.002200701138811222}	{1.0471975511965976, 0.6799999999999999, 0.0053471443300142675}	{1.0471975511965976, 0.69, 0.009151022056253831}	{1.0471975511965976, 0.7, 0.01049290288089603}
{1.1344640137963142, 0.5, 0.006794448258204595}	{1.1344640137963142, 0.51, 0.004438448833494311}	{1.1344640137963142, 0.52, 0.003080827025945291}	{1.1344640137963142, 0.53, 0.00039989481012524367}	{1.1344640137963142, 0.54, 0.00022682696614050453}	{1.1344640137963142, 0.5499999999999999, 0.0005282548839159405}	{1.1344640137963142, 0.5599999999999999, 0.001670399466302483}	{1.1344640137963142, 0.57, 0.0007644636191015182}	{1.1344640137963142, 0.58, 0.00011319059230718306}	{1.1344640137963142, 0.59, 0.007163913758498894}	{1.1344640137963142, 0.6, 1.1178162399631108*^-6}	{1.1344640137963142, 0.61, 0.0018646483463770822}	{1.1344640137963142, 0.62, 0.00004116126136579246}	{1.1344640137963142, 0.63, 0.003874478104225284}	{1.1344640137963142, 0.64, 0.0028002968108360215}	{1.1344640137963142, 0.65, 0.0011762731981245882}	{1.1344640137963142, 0.66, 0.02543090803322407}	{1.1344640137963142, 0.6699999999999999, 0.015603220215067019}	{1.1344640137963142, 0.6799999999999999, 0.003016700508186873}	{1.1344640137963142, 0.69, 0.26710478725918546}	{1.1344640137963142, 0.7, 0.08213411848279369}
