#   NMOD   LOG(T)      H/HE      LOG L/Ls    LOG TE    LOG TC  LOG RHOc     TMAX     MTMAX     M-CC    M-HEC      M-CE     L-PP      L-CNO       L-3A       L-GRA    HE_SUP  LOGTce   GICO    R/Rsun  LOG(g)   M/Msun      mdot   log (L+Lacc)/Ls  Lacc/Ls      Lacc/L      log tkh   log tacc   log t(d)   log t(li6)   log t(li7)    t_conv(glob)    RCE/Rtot      CP_T     Mix.Len.
     1  0.00000000  0.72514E+00   2.87992   3.63060   5.42251  -3.58109   0.00000   0.00000  0.00000  0.00000   0.00000  0.770E-14  0.000E+00  0.000E+00  0.105E+01  0.2610  5.4225  0.0000  50.3522  1.1237  1.230000  0.000E+00  2.87992E+00  0.00000E+00  0.00000E+00    2.79256  -99.00000  -99.00000  -99.00000  -99.00000        1.619969E+00    0.00000  0.000000E+00  2.000000E+00
     2  0.00000000  0.72514E+00   2.53781   3.60890   5.44419  -3.54713   0.00000   0.00000  0.55942  0.00000   1.58719  0.427E-13  0.000E+00  0.000E+00  0.100E+01  0.2610  5.0759  2.4458  37.5289  1.3790  1.230000  0.000E+00  2.53781E+00  0.00000E+00  0.00000E+00    3.26232  -99.00000  -99.00000  -99.00000  -99.00000        1.037492E+00    0.53629  0.000000E+00  2.000000E+00
     3  0.00000000  0.72514E+00   2.48033   3.59475   5.44478  -3.54607   0.00000   0.00000  0.65049  0.00000   1.49612  0.503E-13  0.000E+00  0.000E+00  0.100E+01  0.2610  5.1038  0.5724  37.4905  1.3799  1.230000  0.000E+00  2.48033E+00  0.00000E+00  0.00000E+00    3.32025  -99.00000  -99.00000  -99.00000  -99.00000        9.046478E-01    0.51746  0.000000E+00  2.000000E+00
     4  0.00000000  0.72514E+00   2.47562   3.59376   5.44510  -3.54553   0.00000   0.00000  0.70253  0.00000   1.44408  0.515E-13  0.000E+00  0.000E+00  0.100E+01  0.2610  5.1183  0.6635  37.4587  1.3806  1.230000  0.000E+00  2.47562E+00  0.00000E+00  0.00000E+00    3.32533  -99.00000  -99.00000  -99.00000  -99.00000        8.730734E-01    0.50719  0.000000E+00  2.000000E+00
     5  0.00000000  0.72514E+00   2.47432   3.59374   5.44544  -3.54499   0.00000   0.00000  0.74156  0.00000   1.39204  0.525E-13  0.000E+00  0.000E+00  0.100E+01  0.2610  5.1324  0.7155  37.4062  1.3818  1.230000  0.000E+00  2.47432E+00  0.00000E+00  0.00000E+00    3.32724  -99.00000  -99.00000  -99.00000  -99.00000        8.997888E-01    0.49721  0.000000E+00  2.000000E+00
     6  0.00000000  0.72514E+00   2.47277   3.59379   5.44597  -3.54417   0.00000   0.00000  0.74156  0.00000   1.30098  0.541E-13  0.000E+00  0.000E+00  0.100E+01  0.2610  5.1563  0.7546  37.3311  1.3836  1.230000  0.000E+00  2.47277E+00  0.00000E+00  0.00000E+00    3.32966  -99.00000  -99.00000  -99.00000  -99.00000        9.398646E-01    0.47979  0.000000E+00  2.000000E+00
     7  0.00000000  0.72514E+00   2.44624   3.58664   5.44675  -3.54299   0.00000   0.00000  0.74156  0.00000   1.07330  0.597E-13  0.000E+00  0.000E+00  0.100E+01  0.2610  5.2085  0.7546  37.4196  1.3815  1.230000  0.000E+00  2.44624E+00  0.00000E+00  0.00000E+00    3.35516  -99.00000  -99.00000  -99.00000  -99.00000        9.964330E-01    0.43372  0.000000E+00  2.000000E+00
     8  0.00000000  0.72514E+00   2.44478   3.58668   5.44735  -3.54208   0.00000   0.00000  0.00000  0.00000   0.97573  0.616E-13  0.000E+00  0.000E+00  0.100E+01  0.2610  5.2300  0.7546  37.3494  1.3832  1.230000  0.000E+00  2.44478E+00  0.00000E+00  0.00000E+00    3.35743  -99.00000  -99.00000  -99.00000  -99.00000        1.071095E+00    0.41498  0.000000E+00  2.000000E+00
     9  0.00000000  0.72514E+00   2.44274   3.58675   5.44826  -3.54070   0.00000   0.00000  0.00000  0.00000   0.83913  0.647E-13  0.000E+00  0.000E+00  0.100E+01  0.2610  5.2590  0.0000  37.2499  1.3855  1.230000  0.000E+00  2.44274E+00  0.00000E+00  0.00000E+00    3.36063  -99.00000  -99.00000  -99.00000  -99.00000        1.205779E+00    0.38806  0.000000E+00  2.000000E+00
    10  0.00000000  0.72514E+00   2.44012   3.58686   5.44970  -3.53851   0.00000   0.00000  0.00000  0.00000   0.48917  0.698E-13  0.000E+00  0.000E+00  0.100E+01  0.2610  5.3304  0.0000  37.1187  1.3885  1.230000  0.000E+00  2.44012E+00  0.00000E+00  0.00000E+00    3.36478  -99.00000  -99.00000  -99.00000  -99.00000        1.378197E+00    0.31037  0.000000E+00  2.000000E+00
